"instance","ea-restart","ea-violation","ea-sparingly","vns-restart","vns-violation","vns-sparingly","gsr-restart","gsr-violation","gsr-sparingly","opt","initialSolution","timeMeasure","dynamicFrequency","dynamicChangeType","dynamicIntensity","instanceSet"
"LGF-Leipzig-100-80000-1-greedy-bitVector-L5-relative-C25-budget",0.808869865642994,0.815703646833013,0.815371209213052,0.808958925143954,0.838294049904031,0.829785028790787,0.67353857965451,0.804102879078695,0.8049113243762,250,"greedy","bitVector","L5","relative","C25","Leipzig"
"LGF-Leipzig-100-80000-1-greedy-bitVector-L5-relative-C5-budget",0.792554318618042,0.804520537428023,0.805117082533589,0.748765451055662,0.822970441458733,0.821674472168906,0.646620345489443,0.793140882917466,0.796876007677543,250,"greedy","bitVector","L5","relative","C5","Leipzig"
"LGF-Leipzig-100-80000-1-greedy-bitVector-L5-relative-C50-budget",0.755638387715931,0.764276391554703,0.765434165067178,0.75115547024952,0.771198464491363,0.770209596928983,0.645404990403071,0.721097120921305,0.707986948176583,250,"greedy","bitVector","L5","relative","C50","Leipzig"
"LGF-Leipzig-100-80000-1-greedy-bitVector-L50-absolute-C10-budget",0.539759692898273,0.594953550863724,0.588830710172745,0.332023800383877,0.601550863723608,0.572821497120921,0.35877773512476,0.567633781190019,0.54044990403071,250,"greedy","bitVector","L50","absolute","C10","Leipzig"
"LGF-Leipzig-100-80000-1-greedy-bitVector-L50-absolute-C25-budget",0.656651055662188,0.692859117082534,0.693898656429942,0.540301727447217,0.674020729366603,0.643957005758157,0.504569673704415,0.636112092130518,0.565442610364683,250,"greedy","bitVector","L50","absolute","C25","Leipzig"
"LGF-Leipzig-100-80000-1-greedy-bitVector-L50-absolute-C5-budget",0.897365834932822,0.910297120921305,0.911954702495202,0.850098272552783,0.933862571976967,0.93121689059501,0.852492898272553,0.897930134357006,0.893168522072937,250,"greedy","bitVector","L50","absolute","C5","Leipzig"
"LGF-Leipzig-100-80000-1-greedy-bitVector-L50-absolute-C50-budget",0.761002687140115,0.773044913627639,0.771685988483685,0.679702111324376,0.747064875239923,0.723786564299424,0.678112092130518,0.743973896353167,0.729058733205374,250,"greedy","bitVector","L50","absolute","C50","Leipzig"
"LGF-Leipzig-100-80000-1-greedy-bitVector-L50-relative-C10-budget",0.815709021113244,0.833857965451056,0.830103646833013,0.754195009596929,0.84319462571977,0.831676007677543,0.708681765834933,0.810089827255278,0.783064107485605,250,"greedy","bitVector","L50","relative","C10","Leipzig"
"LGF-Leipzig-100-80000-1-greedy-bitVector-L50-relative-C25-budget",0.193298272552783,0.217820345489443,0.211349712092131,0.163703646833013,0.237306717850288,0.236134357005758,0.164085988483685,0.213103262955854,0.191385028790787,250,"greedy","bitVector","L50","relative","C25","Leipzig"
"LGF-Leipzig-100-80000-1-greedy-bitVector-L50-relative-C5-budget",0.756680230326296,0.778120537428023,0.775189251439539,0.686243378119002,0.796008445297505,0.788580422264875,0.606892898272553,0.75892207293666,0.749432629558541,250,"greedy","bitVector","L50","relative","C5","Leipzig"
"LGF-Leipzig-100-80000-1-greedy-bitVector-L50-relative-C50-budget",0.323586180422265,0.347707485604607,0.343739731285988,0.273874088291747,0.335197696737044,0.316522840690979,0.255296737044146,0.299841842610365,0.272614971209213,250,"greedy","bitVector","L50","relative","C50","Leipzig"
"LGF-Leipzig-100-80000-2-greedy-bitVector-L10-absolute-C10-budget",0.979850533807829,0.981786476868328,0.980982206405694,0.954691103202847,0.989074733096085,0.987796441281139,0.967649822064057,0.978551601423488,0.978466192170819,250,"greedy","bitVector","L10","absolute","C10","Leipzig"
"LGF-Leipzig-100-80000-2-greedy-bitVector-L10-absolute-C25-budget",0.957671174377224,0.950417081850534,0.94828256227758,0.956099644128114,0.963092526690391,0.961934519572954,0.926303202846975,0.936102491103203,0.929615658362989,250,"greedy","bitVector","L10","absolute","C25","Leipzig"
"LGF-Leipzig-100-80000-2-greedy-bitVector-L10-absolute-C5-budget",0.813618505338078,0.815032028469751,0.816553024911032,0.819380071174377,0.835564412811388,0.837113879003559,0.742780071174377,0.767965836298932,0.768684697508897,250,"greedy","bitVector","L10","absolute","C5","Leipzig"
"LGF-Leipzig-100-80000-2-greedy-bitVector-L10-absolute-C50-budget",0.68011103202847,0.703039857651245,0.703497508896797,0.688785765124555,0.68401921708185,0.689780071174377,0.629562989323843,0.638054804270463,0.635113167259787,250,"greedy","bitVector","L10","absolute","C50","Leipzig"
"LGF-Leipzig-100-80000-2-greedy-bitVector-L10-relative-C10-budget",0.96545409252669,0.961960854092527,0.960650533807829,0.974368683274021,0.97435871886121,0.973965836298932,0.952458362989324,0.948491103202847,0.949579359430605,250,"greedy","bitVector","L10","relative","C10","Leipzig"
"LGF-Leipzig-100-80000-2-greedy-bitVector-L10-relative-C25-budget",0.85375231316726,0.859459074733096,0.855711743772242,0.862083985765125,0.8724128113879,0.869251245551601,0.798899644128114,0.832723131672598,0.801977935943061,250,"greedy","bitVector","L10","relative","C25","Leipzig"
"LGF-Leipzig-100-80000-2-greedy-bitVector-L10-relative-C5-budget",0.781222775800712,0.789590035587189,0.789790035587189,0.747204270462633,0.804446263345196,0.802090391459075,0.654243416370107,0.735438434163701,0.729014946619217,250,"greedy","bitVector","L10","relative","C5","Leipzig"
"LGF-Leipzig-100-80000-2-greedy-bitVector-L10-relative-C50-budget",0.168422775800712,0.174143060498221,0.176096085409253,0.171160142348755,0.179217081850534,0.176156583629893,0.170925978647687,0.17459359430605,0.16853665480427,250,"greedy","bitVector","L10","relative","C50","Leipzig"
"LGF-Leipzig-100-80000-2-greedy-bitVector-L25-absolute-C10-budget",0.789521708185053,0.800557295373665,0.797402135231317,0.749404982206406,0.81632384341637,0.811103202846975,0.67248256227758,0.765657651245552,0.730618505338078,250,"greedy","bitVector","L25","absolute","C10","Leipzig"
"LGF-Leipzig-100-80000-2-greedy-bitVector-L25-absolute-C25-budget",0.41728896797153,0.436348754448399,0.435655516014235,0.367276868327402,0.429248398576512,0.421101067615658,0.318641992882562,0.387640569395018,0.369092526690391,250,"greedy","bitVector","L25","absolute","C25","Leipzig"
"LGF-Leipzig-100-80000-2-greedy-bitVector-L25-absolute-C5-budget",0.836425622775801,0.839159430604982,0.837631316725979,0.828893950177936,0.86045409252669,0.860929537366548,0.774143772241993,0.806227046263345,0.806031316725979,250,"greedy","bitVector","L25","absolute","C5","Leipzig"
"LGF-Leipzig-100-80000-2-greedy-bitVector-L25-absolute-C50-budget",0.561967259786477,0.582381494661922,0.580387900355872,0.468964412811388,0.557301779359431,0.534522419928826,0.44417153024911,0.514892526690392,0.492656227758007,250,"greedy","bitVector","L25","absolute","C50","Leipzig"
"LGF-Leipzig-100-80000-2-greedy-bitVector-L25-relative-C10-budget",0.949918861209964,0.952024199288256,0.952513879003559,0.897635587188612,0.966014234875445,0.963326690391459,0.908713167259786,0.949472597864769,0.940636298932384,250,"greedy","bitVector","L25","relative","C10","Leipzig"
"LGF-Leipzig-100-80000-2-greedy-bitVector-L25-relative-C25-budget",0.581456227758007,0.600438434163701,0.594183629893238,0.488985053380783,0.604957295373665,0.595061921708185,0.423801423487544,0.542065480427046,0.508957295373666,250,"greedy","bitVector","L25","relative","C25","Leipzig"
"LGF-Leipzig-100-80000-2-greedy-bitVector-L25-relative-C5-budget",0.738816370106762,0.760896797153025,0.760175800711744,0.613342348754448,0.772525978647687,0.768415658362989,0.553451957295374,0.706998576512455,0.696446263345196,250,"greedy","bitVector","L25","relative","C5","Leipzig"
"LGF-Leipzig-100-80000-2-greedy-bitVector-L25-relative-C50-budget",0.701019217081851,0.718419928825623,0.716046975088968,0.617905338078292,0.711274733096085,0.687081850533808,0.57077793594306,0.65673024911032,0.605190035587189,250,"greedy","bitVector","L25","relative","C50","Leipzig"
"LGF-Leipzig-100-80000-2-greedy-bitVector-L5-absolute-C10-budget",0.759174377224199,0.767250533807829,0.766822775800712,0.731483274021352,0.782474021352313,0.77550462633452,0.638739501779359,0.72658078291815,0.698486120996441,250,"greedy","bitVector","L5","absolute","C10","Leipzig"
"LGF-Leipzig-100-80000-2-greedy-bitVector-L5-absolute-C25-budget",0.833271174377224,0.836691103202847,0.837367971530249,0.84959359430605,0.849256939501779,0.850840569395018,0.765266192170818,0.799232028469751,0.789085409252669,250,"greedy","bitVector","L5","absolute","C25","Leipzig"
"LGF-Leipzig-100-80000-2-greedy-bitVector-L5-absolute-C5-budget",0.832175088967972,0.82511743772242,0.827130960854093,0.849883985765124,0.848844839857651,0.850661921708185,0.773141637010676,0.783541637010676,0.778871886120996,250,"greedy","bitVector","L5","absolute","C5","Leipzig"
"LGF-Leipzig-100-80000-2-greedy-bitVector-L5-absolute-C50-budget",0.980604270462634,0.970848398576512,0.97216512455516,0.982407117437722,0.982403558718861,0.982435587188612,0.967288256227758,0.965932384341637,0.966031316725979,250,"greedy","bitVector","L5","absolute","C50","Leipzig"
"LGF-Leipzig-100-80000-2-greedy-bitVector-L5-relative-C10-budget",0.758565836298932,0.765213523131673,0.761840569395018,0.737903202846975,0.777824199288256,0.77755231316726,0.653271886120996,0.710251957295374,0.6976128113879,250,"greedy","bitVector","L5","relative","C10","Leipzig"
"LGF-Leipzig-100-80000-2-greedy-bitVector-L5-relative-C25-budget",0.826528825622776,0.828189323843416,0.824003558718861,0.824751601423487,0.845334519572954,0.844334519572954,0.754544483985765,0.797472597864769,0.775316014234876,250,"greedy","bitVector","L5","relative","C25","Leipzig"
